,period,future,node,Data,Regressor,Score,Params
168,60,7,dam_Lam Pao,Exclusive,Ridge,0.05468684495813203,{'alpha': 0}
169,60,7,dam_Lam Pao,Exclusive,SVR,0.1640200710271753,"{'C': 20, 'kernel': 'linear'}"
170,60,7,dam_Lam Pao,Exclusive,MLP,0.20237845519701103,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
171,60,7,dam_Chulabhorn,Self,Ridge,0.9617923247549024,{'alpha': 0}
172,60,7,dam_Chulabhorn,Self,SVR,0.9628609217008338,"{'C': 15, 'kernel': 'linear'}"
173,60,7,dam_Chulabhorn,Self,MLP,0.9619072535699638,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
174,60,7,dam_Chulabhorn,Neighborhood,Ridge,0.9582020559355451,{'alpha': 0}
175,60,7,dam_Chulabhorn,Neighborhood,SVR,0.9625195141007312,"{'C': 20, 'kernel': 'linear'}"
176,60,7,dam_Chulabhorn,Neighborhood,MLP,0.5866133455916372,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
177,60,7,dam_Chulabhorn,Exclusive,Ridge,0.10967015979833239,{'alpha': 0}
178,60,7,dam_Chulabhorn,Exclusive,SVR,0.15452683846670234,"{'C': 15, 'kernel': 'linear'}"
179,60,7,dam_Chulabhorn,Exclusive,MLP,0.04325163557514411,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
180,60,7,dam_Huai Kum,Self,Ridge,0.8384246778071284,{'alpha': 0}
181,60,7,dam_Huai Kum,Self,SVR,0.8302159139617113,"{'C': 20, 'kernel': 'linear'}"
182,60,7,dam_Huai Kum,Self,MLP,0.6414271396604228,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
183,60,7,dam_Huai Kum,Neighborhood,Ridge,0.7993386493989034,{'alpha': 0}
184,60,7,dam_Huai Kum,Neighborhood,SVR,0.8159560325283579,"{'C': 20, 'kernel': 'linear'}"
185,60,7,dam_Huai Kum,Neighborhood,MLP,0.4943888030635686,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
186,60,7,dam_Huai Kum,Exclusive,Ridge,0.20552782415990778,{'alpha': 0}
187,60,7,dam_Huai Kum,Exclusive,SVR,-0.22417692385756216,"{'C': 15, 'kernel': 'rbf'}"
188,60,7,dam_Huai Kum,Exclusive,MLP,-0.17891175036126095,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
189,60,7,dam_Xe Kaman 3,Self,Ridge,0.44486814911676786,{'alpha': 0}
190,60,7,dam_Xe Kaman 3,Self,SVR,0.4260806933733422,"{'C': 20, 'kernel': 'linear'}"
191,60,7,dam_Xe Kaman 3,Self,MLP,-0.6033599082748904,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
192,60,7,dam_Xe Kaman 3,Neighborhood,Ridge,0.4576992487817215,{'alpha': 0}
193,60,7,dam_Xe Kaman 3,Neighborhood,SVR,-0.045306418474708954,"{'C': 15, 'kernel': 'rbf'}"
194,60,7,dam_Xe Kaman 3,Neighborhood,MLP,-0.004645960661943116,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
195,60,7,dam_Xe Kaman 3,Exclusive,Ridge,-0.9611251237254175,{'alpha': 0}
196,60,7,dam_Xe Kaman 3,Exclusive,SVR,-0.8503804811315576,"{'C': 15, 'kernel': 'rbf'}"
197,60,7,dam_Xe Kaman 3,Exclusive,MLP,-0.1308749194248029,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
198,60,7,dam_Pak Mun,Self,Ridge,0.8001865393118538,{'alpha': 0}
199,60,7,dam_Pak Mun,Self,SVR,0.78802022698323,"{'C': 20, 'kernel': 'linear'}"
200,60,7,dam_Pak Mun,Self,MLP,0.5100271682237372,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
201,60,7,dam_Pak Mun,Neighborhood,Ridge,0.7167058389064789,{'alpha': 0}
202,60,7,dam_Pak Mun,Neighborhood,SVR,0.7370083608616669,"{'C': 20, 'kernel': 'linear'}"
203,60,7,dam_Pak Mun,Neighborhood,MLP,-0.5100010930823118,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
204,60,7,dam_Pak Mun,Exclusive,Ridge,-1.0431288905352343,{'alpha': 0}
205,60,7,dam_Pak Mun,Exclusive,SVR,-0.2704306384804782,"{'C': 20, 'kernel': 'rbf'}"
206,60,7,dam_Pak Mun,Exclusive,MLP,-0.5625445162384528,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
207,60,7,dam_Sirindhorn,Self,Ridge,0.528316203748323,{'alpha': 0}
208,60,7,dam_Sirindhorn,Self,SVR,0.5361367607164234,"{'C': 20, 'kernel': 'linear'}"
209,60,7,dam_Sirindhorn,Self,MLP,0.4176517864159295,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
210,60,7,dam_Sirindhorn,Neighborhood,Ridge,0.38324757575882573,{'alpha': 0}
211,60,7,dam_Sirindhorn,Neighborhood,SVR,0.4237741822875356,"{'C': 15, 'kernel': 'linear'}"
212,60,7,dam_Sirindhorn,Neighborhood,MLP,0.21059733794247082,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
213,60,7,dam_Sirindhorn,Exclusive,Ridge,0.1556678740559433,{'alpha': 0}
214,60,7,dam_Sirindhorn,Exclusive,SVR,0.4553632355760554,"{'C': 15, 'kernel': 'rbf'}"
215,60,7,dam_Sirindhorn,Exclusive,MLP,0.1004061226552041,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
216,60,7,dam_Houayho,Self,Ridge,0.8801449722621093,{'alpha': 0}
217,60,7,dam_Houayho,Self,SVR,0.8750384592976478,"{'C': 15, 'kernel': 'linear'}"
218,60,7,dam_Houayho,Self,MLP,0.7893907639970361,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
219,60,7,dam_Houayho,Neighborhood,Ridge,0.8716628305288513,{'alpha': 0}
220,60,7,dam_Houayho,Neighborhood,SVR,0.8734065265886313,"{'C': 20, 'kernel': 'linear'}"
221,60,7,dam_Houayho,Neighborhood,MLP,0.6518993802723582,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
222,60,7,dam_Houayho,Exclusive,Ridge,-0.3464163374141014,{'alpha': 0}
223,60,7,dam_Houayho,Exclusive,SVR,-0.7968464595762406,"{'C': 15, 'kernel': 'rbf'}"
224,60,7,dam_Houayho,Exclusive,MLP,-0.4904964087193071,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
225,60,7,dam_Xe Kaman 1,Self,Ridge,0.8909845018490992,{'alpha': 0}
226,60,7,dam_Xe Kaman 1,Self,SVR,0.8762180520332223,"{'C': 20, 'kernel': 'linear'}"
227,60,7,dam_Xe Kaman 1,Self,MLP,0.8341595677208409,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
228,60,7,dam_Xe Kaman 1,Neighborhood,Ridge,0.9021246792139245,{'alpha': 0}
229,60,7,dam_Xe Kaman 1,Neighborhood,SVR,0.8725109641470463,"{'C': 15, 'kernel': 'linear'}"
230,60,7,dam_Xe Kaman 1,Neighborhood,MLP,0.6802169986237602,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
231,60,7,dam_Xe Kaman 1,Exclusive,Ridge,-0.19134058826630906,{'alpha': 0}
232,60,7,dam_Xe Kaman 1,Exclusive,SVR,-0.15789070046466436,"{'C': 15, 'kernel': 'linear'}"
233,60,7,dam_Xe Kaman 1,Exclusive,MLP,-3.6343014149686415,"{'activation': 'relu', 'hidden_layer_sizes': (128, 128, 128)}"
234,60,7,dam_Lamtakhong,Self,Ridge,0.8207813047851039,{'alpha': 0}
235,60,7,dam_Lamtakhong,Self,SVR,0.818708312263474,"{'C': 20, 'kernel': 'linear'}"
236,60,7,dam_Lamtakhong,Self,MLP,0.7231058920936642,"{'activation': 'tanh', 'hidden_layer_sizes': (128,)}"
237,60,7,dam_Lamtakhong,Neighborhood,Ridge,0.7334431909037413,{'alpha': 0}
238,60,7,dam_Lamtakhong,Neighborhood,SVR,0.7777711247716482,"{'C': 20, 'kernel': 'linear'}"
239,60,7,dam_Lamtakhong,Neighborhood,MLP,0.105503260933837,"{'activation': 'tanh', 'hidden_layer_sizes': (128, 128, 128)}"
240,60,7,dam_Lamtakhong,Exclusive,Ridge,-4.330695824010041,{'alpha': 0}
241,60,7,dam_Lamtakhong,Exclusive,SVR,-6.2479864208479965,"{'C': 15, 'kernel': 'linear'}"
